epoch,train_loss,val_loss,train_error_deg,val_error_deg
1,4.732112326188969,4.228438239045196,29.236802159338833,10.782605636051722
2,4.225812015476777,4.081443741557362,9.121769222418719,8.034985624035635
3,4.1292680247688365,4.051291596758497,7.977365010281207,7.36613348474782
4,4.089483309093949,4.037343997745723,7.184471412819985,7.140522967611915
5,4.0605290463660335,4.01844727233216,6.194968258763386,5.675161975153637
6,4.043900474469001,4.021029172100864,5.740248940838309,6.403877932175613
7,4.033499833703149,4.017177817585704,5.39696540534735,5.953216560363771
8,4.026498032515555,4.003592999426873,5.143252676307516,4.727856470307806
9,4.020456156640101,4.004517789463421,5.003098765524062,5.031524478705376
10,4.015570963034256,3.996988523923434,4.832951608531667,4.074350364984393
11,4.0094620100119185,3.991352039379078,4.489114479760364,3.5003646500634624
12,4.008655915009608,3.9987816695328595,4.565542908167096,4.43495492814836
13,4.009311237625952,4.008772421407175,4.622949003560831,4.888887093116951
14,4.01963916229595,4.005030891397497,5.442146949915614,4.946332592952818
15,4.009680393114523,3.9959984244881097,4.942554860628285,4.216504689305692
16,4.002242754263682,3.993283282269488,4.4169685243433,3.7877620518827606
17,3.9991105638907376,3.994429301167582,4.154770584929562,4.131893636783837
18,3.9970344999412157,3.9926395982176395,4.039771265427737,3.8224959553000915
19,3.9955118793092823,3.994832927054101,3.924676213998032,3.751670521247082
20,3.9948309338565577,3.9910905203976474,3.932034430660461,3.690192810759002
21,3.9929137786157587,3.9905850200862676,3.768713618037242,3.578663334755671
22,3.9923480449297557,3.9945633605286317,3.6339774808128613,3.965476562210056
23,3.9913233358597298,3.9913566484556093,3.624456008864903,3.5431189137640455
24,3.991890320157592,3.989701645714896,3.7461011964880435,3.2530032752250144
25,3.990378416226733,3.995929327639905,3.5592567327700384,4.065292126336596
26,3.990485332529915,3.9863454703446273,3.568268942771655,2.760862168617738
27,3.990491446129282,3.988610791636037,3.5695508898066532,3.215367855610428
28,3.9914618144585416,3.9891885946085166,3.7103820764445503,3.263363475041511
29,3.990537552943819,3.9916720683758076,3.6594028571227644,3.530196094820568
30,3.9892760343814047,3.9910217929672407,3.4635140954508756,3.5230512230736863
31,3.991152830447912,3.9950619425092424,3.6757874619212165,4.004610578526508
32,4.019152565344931,4.014357010348813,5.588131080965421,5.820024761440117
33,4.007133392966728,3.998300215438172,4.949142719917372,4.333908477129954
34,3.993115896156724,3.9886766480875537,3.887367078198848,3.2110514391898675
35,3.9896296264127065,3.9901999227293246,3.561049951210671,3.35437660020961
36,3.9882031747990223,3.9866861741621418,3.415252076517347,2.8432881308239457
37,3.987915671036512,3.9855782094892565,3.340435579221731,2.691462968099248
38,3.9880111401679517,3.9922226140787314,3.3593625257813247,3.4305991979990234
39,3.987010264547585,3.987757281418685,3.214658041248338,2.909610541397836
40,3.986372287260163,3.9845333125565077,3.1617221121012618,2.6046833743490145
41,3.987090662273845,3.9876464309273185,3.2245804556440816,2.905971396718269
42,3.9862157768433817,3.990590255863064,3.144986764410333,3.5401623584143405
43,3.985634674814656,3.986127787369948,3.0518879278029765,2.766661760692631
44,3.9860984818015415,3.9866063683897583,3.1349861997603097,2.7706638374175787
